id,price,year,manufacturer,condition,fuel,odometer
630,44999,2015,cadillac,excellent,gas,50149
631,22000,2019,hyundai,like new,gas,51000
632,21590,2011,mazda,good,gas,23483
633,15999,2016,subaru,good,gas,102000
634,39990,2018,bmw,good,gas,45789
635,54590,2020,bmw,good,gas,9401
636,25590,2017,bmw,good,gas,23089
637,5995,2009,honda,excellent,gas,149000
638,6250,2010,chevrolet,excellent,gas,164000
639,15997,2019,ford,good,gas,12251
640,42590,2018,jeep,good,gas,49510
641,34997,2019,ford,good,gas,30649
642,7997,2014,chevrolet,good,gas,94567
643,12997,2017,subaru,good,gas,82453
644,13997,2017,toyota,good,gas,57989
645,22997,2015,ford,good,gas,102567
646,34990,2018,jeep,good,gas,19026
